Inference (Supplementary Test),Assumption Comprehension (Supplementary Test),Deduction (Supplementary Test),Interpretation (Supplementary Test),Evaluation of Arguments (Supplementary Test),Perceptive and Cognitive Skills (Test Score),Creative Decision-Making (Test Score),Management Ability (Test Score),Leadership of Individuals (Test Score),Communication Skills (Test Score),Individual Potential (Test Score),Technical Competence (Test Score),Perceptive and Cognitive Skills (Self-Assessment),Creative Decision-Making (Self-Assessment),Management Ability (Self-Assessment),Leadership of Individuals (Self-Assessment),Communication Skills (Self-Assessment),Individual Potential (Self-Assessment),Technical Competence (Self-Assessment),Error of Perceptive and Cognitive Skills (Self-Assessment),Error of Creative Decision-Making,Error of Management Ability ,Error of Leadership of Individuals,Error of Communication Skills,Error of Individual Potential,Error of Technical Competence,Critical Thinking,Creative Decision-Making,Leadership Training,Communication Skills,Technical Competence,Emotional Intelligence,Executive Function Training,Mindfulness and Metacognition,Empathy Development,Transformational Leadership,Assertiveness Training,Technical Skills Development,Multitasking and Task-Switching,Physical Exercise,Self-Regulation and Emotional Awareness,Social and Emotional Learning (SEL),Feedback Mechanisms,Emotional Regulation,Interpersonal Skills,Ongoing Education,Attention to Detail,Soft Skills Integration,Adaptive Leadership Training,Shamsi Year,person_id
7,10,19,13,10,5,4,4.5,4.5,5,5.5,6.5,9,9,8,9,9,9,9,4,5,3.5,4.5,4,3.5,2.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1397,105
9,13,19,20,12,7,6,5,4.5,6,6,6.5,7,8,8,9,7,8,9,0,2,3,4.5,1,2,2.5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1397,109
8,11,15,13,10,4.5,4,4.5,4,5.5,5,6.5,8,7,10,10,9,9,8,3.5,3,5.5,6,3.5,4,1.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1397,118
8,12,16,12,6,5,5,5.5,4.5,5,5,6.5,7,9,9,10,9,7,9,2,4,3.5,5.5,4,2,2.5,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1397,124
0,0,17,19,11,4.5,4,4.5,3,4,5,5.5,7,7,7,7,7,8,7,2.5,3,2.5,4,3,3,1.5,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1397,143
8,11,17,18,13,6.5,5.5,6,4.5,6,6,6.5,7,5,7,8,8,5,8,0.5,0.5,1,3.5,2,1,1.5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1397,147
6,7,15,15,6,5,5,5,4.5,5.5,5.5,6.5,7,10,10,10,10,8,10,2,5,5,5.5,4.5,2.5,3.5,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1397,151
4,6,19,15,7,5,4.5,5,4.5,5,5.5,6.5,6,6,8,9,8,8,10,1,1.5,3,4.5,3,2.5,3.5,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1397,153
12,11,14,15,11,5.5,5,5.5,4,5,5,6,8,9,7,7,6,9,7,2.5,4,1.5,3,1,4,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1397,187
9,10,22,16,9,6,5.5,5.5,5,5.5,6,5.5,9,9,9,10,8,8,8,3,3.5,3.5,5,2.5,2,2.5,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1397,193
8,14,18,20,7,6.5,5.5,5.5,4.5,5.5,6,7.5,9,10,9,10,9,10,10,2.5,4.5,3.5,5.5,3.5,4,2.5,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1397,196
