Inference (Supplementary Test),Assumption Comprehension (Supplementary Test),Deduction (Supplementary Test),Interpretation (Supplementary Test),Evaluation of Arguments (Supplementary Test),Perceptive and Cognitive Skills (Test Score),Creative Decision-Making (Test Score),Management Ability (Test Score),Leadership of Individuals (Test Score),Communication Skills (Test Score),Individual Potential (Test Score),Technical Competence (Test Score),Perceptive and Cognitive Skills (Self-Assessment),Creative Decision-Making (Self-Assessment),Management Ability (Self-Assessment),Leadership of Individuals (Self-Assessment),Communication Skills (Self-Assessment),Individual Potential (Self-Assessment),Technical Competence (Self-Assessment),Error of Perceptive and Cognitive Skills (Self-Assessment),Error of Creative Decision-Making,Error of Management Ability ,Error of Leadership of Individuals,Error of Communication Skills,Error of Individual Potential,Error of Technical Competence,Critical Thinking,Creative Decision-Making,Leadership Training,Communication Skills,Technical Competence,Emotional Intelligence,Executive Function Training,Mindfulness and Metacognition,Empathy Development,Transformational Leadership,Assertiveness Training,Technical Skills Development,Multitasking and Task-Switching,Physical Exercise,Self-Regulation and Emotional Awareness,Social and Emotional Learning (SEL),Feedback Mechanisms,Emotional Regulation,Interpersonal Skills,Ongoing Education,Attention to Detail,Soft Skills Integration,Adaptive Leadership Training,Shamsi Year,person_id
6,9,13,14,9,5,5,6,4.5,5.5,6,6,8,8,8,9,9,9,8,3,3,2,4.5,3.5,3,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1394,134
7,10,19,16,6,5,4.5,5,4.5,5,5.5,6.5,8,8,10,9,8,8,9,3,3.5,5,4.5,3,2.5,2.5,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1394,160
7,11,14,12,11,4.5,4,5.5,4.5,5,6,5.5,9,8,8,8,7,8,8,4.5,4,2.5,3.5,2,2,2.5,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1394,163
11,11,19,17,10,6.5,6,5,4.5,5.5,6,5.5,9,9,9,8,8,9,8,2.5,3,4,3.5,2.5,3,2.5,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1394,170
10,6,16,16,11,5,5,5,5,6,5.5,5,8,8,8,9,8,9,9,3,3,3,4,2,3.5,4,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1394,175
6,7,15,12,8,4,4,4.5,4.5,4.5,5,6,7,7,7,8,8,8,9,3,3,2.5,3.5,3.5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1394,189
10,8,16,4,9,4.5,4,4,4,4,5,5,7,7,7,7,7,7,8,2.5,3,3,3,3,2,3,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1394,191
10,8,15,12,8,5,4,5,4,5,5.5,4,9,9,10,10,10,10,10,4,5,5,6,5,4.5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1394,202
10,14,18,16,10,5.5,5,4.5,4,4.5,5.5,6,9,8,9,8,9,9,10,3.5,3,4.5,4,4.5,3.5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1394,204
10,11,15,15,8,6,6,5,4.5,5.5,6.5,8.5,10,9,8,8,9,10,10,4,3,3,3.5,3.5,3.5,1.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1394,210
