Inference (Supplementary Test),Assumption Comprehension (Supplementary Test),Deduction (Supplementary Test),Interpretation (Supplementary Test),Evaluation of Arguments (Supplementary Test),Perceptive and Cognitive Skills (Test Score),Creative Decision-Making (Test Score),Management Ability (Test Score),Leadership of Individuals (Test Score),Communication Skills (Test Score),Individual Potential (Test Score),Technical Competence (Test Score),Perceptive and Cognitive Skills (Self-Assessment),Creative Decision-Making (Self-Assessment),Management Ability (Self-Assessment),Leadership of Individuals (Self-Assessment),Communication Skills (Self-Assessment),Individual Potential (Self-Assessment),Technical Competence (Self-Assessment),Error of Perceptive and Cognitive Skills (Self-Assessment),Error of Creative Decision-Making,Error of Management Ability ,Error of Leadership of Individuals,Error of Communication Skills,Error of Individual Potential,Error of Technical Competence,Critical Thinking,Creative Decision-Making,Leadership Training,Communication Skills,Technical Competence,Emotional Intelligence,Executive Function Training,Mindfulness and Metacognition,Empathy Development,Transformational Leadership,Assertiveness Training,Technical Skills Development,Multitasking and Task-Switching,Physical Exercise,Self-Regulation and Emotional Awareness,Social and Emotional Learning (SEL),Feedback Mechanisms,Emotional Regulation,Interpersonal Skills,Ongoing Education,Attention to Detail,Soft Skills Integration,Adaptive Leadership Training,Shamsi Year,person_id
11,14,20,11,6,6.5,6,5.5,5.5,6,7,8,5,6,8,8,7,9,9,1.5,0,2.5,2.5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,84
11,11,18,19,12,6,5,6,4.5,5.5,6,6.5,8,8,9,9,9,9,8,2,3,3,4.5,3.5,3,1.5,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1396,98
5,11,19,14,10,5,5,5.5,4.5,5.5,5.5,5.5,8,8,9,9,9,8,9,3,3,3.5,4.5,3.5,2.5,3.5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1396,115
10,11,17,16,7,5,4,4,4,5,5,6.5,9,9,9,9,9,9,8,4,5,5,5,4,4,1.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1396,125
5,11,20,16,7,5,4.5,4,4,5,5,5.5,8,9,8,9,7,10,9,3,4.5,4,5,2,5,3.5,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1396,127
11,10,20,19,12,6.5,6,6,5.5,6,6,7,9,9,9,9,9,10,10,2.5,3,3,3.5,3,4,3,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1396,158
7,13,17,15,7,4.5,4,4,4,4.5,5.5,7,7,8,8,8,9,6,5,2.5,4,4,4,4.5,0.5,2,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1396,161
8,9,14,16,5,5,5,4.5,5,5,5,6.5,9,9,9,9,9,10,9,4,4,4.5,4,4,5,2.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1396,162
8,10,19,9,0,4,4,4,4,5,5.5,5.5,7,7,6,6,7,8,8,3,3,2,2,2,2.5,2.5,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1396,166
7,9,16,12,9,5,4,4.5,4,4.5,5.5,7.5,10,10,10,10,10,10,9,5,6,5.5,6,5.5,4.5,1.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1396,172
14,14,18,11,0,5,4.5,6,4.5,4.5,5.5,5.5,5,5,6,6,4,7,5,0,0.5,0,1.5,0.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,173
2,12,19,15,9,6,5.5,5.5,5.5,6,6,7.5,8,7,8,8,9,8,9,2,1.5,2.5,2.5,3,2,1.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1396,180
7,11,20,16,10,5.5,5.5,5.5,5,5,6,6,9,9,10,10,10,9,10,3.5,3.5,4.5,5,5,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1396,215
