Inference (Supplementary Test),Assumption Comprehension (Supplementary Test),Deduction (Supplementary Test),Interpretation (Supplementary Test),Evaluation of Arguments (Supplementary Test),Perceptive and Cognitive Skills (Test Score),Creative Decision-Making (Test Score),Management Ability (Test Score),Leadership of Individuals (Test Score),Communication Skills (Test Score),Individual Potential (Test Score),Technical Competence (Test Score),Perceptive and Cognitive Skills (Self-Assessment),Creative Decision-Making (Self-Assessment),Management Ability (Self-Assessment),Leadership of Individuals (Self-Assessment),Communication Skills (Self-Assessment),Individual Potential (Self-Assessment),Technical Competence (Self-Assessment),Error of Perceptive and Cognitive Skills (Self-Assessment),Error of Creative Decision-Making,Error of Management Ability ,Error of Leadership of Individuals,Error of Communication Skills,Error of Individual Potential,Error of Technical Competence,Critical Thinking,Creative Decision-Making,Leadership Training,Communication Skills,Technical Competence,Emotional Intelligence,Executive Function Training,Mindfulness and Metacognition,Empathy Development,Transformational Leadership,Assertiveness Training,Technical Skills Development,Multitasking and Task-Switching,Physical Exercise,Self-Regulation and Emotional Awareness,Social and Emotional Learning (SEL),Feedback Mechanisms,Emotional Regulation,Interpersonal Skills,Ongoing Education,Attention to Detail,Soft Skills Integration,Adaptive Leadership Training,Shamsi Year,person_id
13,10,16,16,11,5.5,5,5.5,5,5.5,5.5,7,8,8,8,8,9,9,9,2.5,3,2.5,3,3.5,3.5,2,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1400,159
9,9,18,13,11,4.5,4.5,4.5,4,5,5,7,10,10,10,10,9,10,10,5.5,5.5,5.5,6,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1400,164
7,9,16,14,11,4.5,4,4.5,4,4.5,4,5,6,6,7,6,8,7,7,1.5,2,2.5,2,3.5,3,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1400,167
7,13,17,13,14,6.5,5.5,6,5,6,6,8.5,7,8,9,10,8,8,7,0.5,2.5,3,5,2,2,1.5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1400,168
4,7,17,15,9,5.5,5.5,6,4.5,5.5,5.5,7,6,7,9,9,9,9,9,0.5,1.5,3,4.5,3.5,3.5,2,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1400,169
3,8,13,17,9,5,5.5,5.5,4,5,5.5,6.5,8,8,9,9,9,10,8,3,2.5,3.5,5,4,4.5,1.5,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1400,174
10,10,17,16,10,6.5,6,5,5,6,6,6.5,9,9,9,9,9,9,10,2.5,3,4,4,3,3,3.5,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1400,181
7,10,18,15,6,5.5,5,6,5,6,6.5,6,8,8,9,10,9,8,9,2.5,3,3,5,3,1.5,3,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1400,182
8,10,16,17,10,5.5,4.5,4.5,4.5,4.5,5.5,8.5,9,8,8,8,8,9,8,3.5,3.5,3.5,3.5,3.5,3.5,0.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1400,199
9,8,18,14,8,5.5,5,4,3.5,4.5,5,5,8,6,8,8,6,7,6,2.5,1,4,4.5,1.5,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1400,200
