Inference (Supplementary Test),Assumption Comprehension (Supplementary Test),Deduction (Supplementary Test),Interpretation (Supplementary Test),Evaluation of Arguments (Supplementary Test),Perceptive and Cognitive Skills (Test Score),Creative Decision-Making (Test Score),Management Ability (Test Score),Leadership of Individuals (Test Score),Communication Skills (Test Score),Individual Potential (Test Score),Technical Competence (Test Score),Perceptive and Cognitive Skills (Self-Assessment),Creative Decision-Making (Self-Assessment),Management Ability (Self-Assessment),Leadership of Individuals (Self-Assessment),Communication Skills (Self-Assessment),Individual Potential (Self-Assessment),Technical Competence (Self-Assessment),Error of Perceptive and Cognitive Skills (Self-Assessment),Error of Creative Decision-Making,Error of Management Ability ,Error of Leadership of Individuals,Error of Communication Skills,Error of Individual Potential,Error of Technical Competence,Critical Thinking,Creative Decision-Making,Leadership Training,Communication Skills,Technical Competence,Emotional Intelligence,Executive Function Training,Mindfulness and Metacognition,Empathy Development,Transformational Leadership,Assertiveness Training,Technical Skills Development,Multitasking and Task-Switching,Physical Exercise,Self-Regulation and Emotional Awareness,Social and Emotional Learning (SEL),Feedback Mechanisms,Emotional Regulation,Interpersonal Skills,Ongoing Education,Attention to Detail,Soft Skills Integration,Adaptive Leadership Training,Shamsi Year,person_id
9,10,18,15,11,6,5.5,5.5,4.5,5,5.5,6.5,8,8,8,9,8,10,8,2,2.5,2.5,4.5,3,4.5,1.5,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1398,111
5,10,17,14,7,4.5,4,4,4,4.5,4.5,5.5,8,9,9,9,10,9,9,3.5,5,5,5,5.5,4.5,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1398,130
8,10,20,16,10,6.5,6,6,5.5,7,7,6.5,10,10,10,10,10,10,10,3.5,4,4,4.5,3,3,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1398,132
0,12,18,15,0,5,5,5,4,4.5,5.5,6,7,7,8,8,8,8,8,2,2,3,4,3.5,2.5,2,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1398,139
4,8,17,12,9,4.5,4,4.5,4,5,5,5,5,6,6,6,5,7,6,0.5,2,1.5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,142
10,9,19,16,12,5,4.5,5,4.5,5,5.5,6.5,8,8,8,8,8,8,8,3,3.5,3,3.5,3,2.5,1.5,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1398,154
10,11,10,14,0,4,4,4.5,4,4.5,5,6,9,10,10,10,10,9,9,5,6,5.5,6,5.5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1398,190
11,9,20,19,9,6.5,5,5.5,4,5,6,7.5,5,5,5,5,5,5,5,1.5,0,0.5,1,0,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,214
7,11,16,16,9,5,5,5.5,4,5,5.5,6,9,9,10,10,9,9,9,4,4,4.5,6,4,3.5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1398,217
4,13,16,13,9,5,4.5,4.5,4,4.5,5,7.5,5,6,6,6,6,6,5,0,1.5,1.5,2,1.5,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,218
